"D10S1208.167" "D10S1208.176" "D10S1208.179" "D10S1208.182" "D10S1208.185" "D10S1208.188" "D10S1208.191" "D10S1208.194" "D10S1208.197" "D10S1208.200" "D10S1208.203" "D10S1208.206" "D10S1221.180" "D10S1221.183" "D10S1221.192" "D10S1221.195" "D10S1221.198" "D10S1221.201" "D10S1221.204" "D10S1221.207" "D10S1221.210" "D10S1221.213" "D10S1221.216" "D10S1221.219" "D10S1221.222" "D10S1222.221" "D10S1222.224" "D10S1222.225" "D10S1222.227" "D10S1222.230" "D10S1222.233" "D10S1222.236" "D10S1222.239" "D10S1222.242" "D10S1222.245" "D10S1222.248" "D10S1225.172" "D10S1225.175" "D10S1225.178" "D10S1225.181" "D10S1225.184" "D10S1225.187" "D10S1225.190" "D10S1225.193" "D10S1225.196" "D10S1225.199" "D10S1230.111" "D10S1230.114" "D10S1230.117" "D10S1230.120" "D10S1230.123" "D10S1230.126" "D10S1230.129" "D10S1230.132" "D10S1230.135" "D10S1230.138" "D10S1230.141" "D10S1239.156" "D10S1239.160" "D10S1239.164" "D10S1239.168" "D10S1239.172" "D10S1239.176" "D10S1239.180" "D10S1239.184" "D10S1239.188" "D10S1239.192" "D10S1248.221" "D10S1248.225" "D10S1248.229" "D10S1248.233" "D10S1248.237" "D10S1248.241" "D10S1248.245" "D10S1248.246" "D10S1248.249" "D10S1248.253" "D10S1248.257" "D10S1248.261" "D10S1248.265" "D10S1248.269" "D10S1412.151" "D10S1412.154" "D10S1412.157" "D10S1412.160" "D10S1412.163" "D10S1412.166" "D10S1412.169" "D10S1412.172" "D10S1412.175" "D10S1423.206" "D10S1423.214" "D10S1423.218" "D10S1423.222" "D10S1423.226" "D10S1423.230" "D10S1423.234" "D10S1423.238" "D10S1423.242" "D10S1423.246"
"Maya" 0 0 0.136364 0 0.0227273 0 0.0227273 0.568182 0.113636 0.113636 0.0227273 0 0 0 0 0.294118 0.0588235 0.0882353 0.0294118 0.235294 0.147059 0.147059 0 0 0 0.666667 0 0 0 0.0208333 0 0.0833333 0.229167 0 0 0 0 0 0 0.0227273 0.0909091 0.363636 0.5 0.0227273 0 0 0 0 0 0 0.12 0.32 0.2 0.28 0.08 0 0 0 0.145833 0 0 0 0.0833333 0.541667 0.166667 0.0625 0 0 0.04 0 0 0.02 0 0.26 0 0.5 0.12 0.04 0.02 0 0 0.08 0.02 0.84 0.04 0 0.02 0 0 0 0 0 0 0 0.369565 0.26087 0.282609 0.0869565 0 0
"Sardinian" 0 0 0.24 0 0 0.02 0.06 0.42 0.2 0.04 0.02 0 0 0 0 0.277778 0 0 0 0.037037 0.222222 0.388889 0.0555556 0 0.0185185 0.647059 0 0 0 0.0588235 0.0294118 0.147059 0.0882353 0 0.0294118 0 0 0 0 0.196429 0.196429 0.321429 0.25 0.0357143 0 0 0 0 0 0 0.0892857 0.428571 0.25 0.178571 0.0535714 0 0 0.0192308 0.326923 0 0 0.0384615 0.134615 0.365385 0.115385 0 0 0 0 0 0 0 0.0178571 0.285714 0 0.285714 0.285714 0.107143 0.0178571 0 0 0.444444 0.0555556 0.296296 0.0740741 0 0.0925926 0.037037 0 0 0.0238095 0 0.261905 0.0238095 0.309524 0.238095 0.047619 0.0714286 0.0238095 0
"Tuscan" 0 0 0.375 0 0 0 0.125 0.375 0.125 0 0 0 0 0 0 0.0833333 0.166667 0 0.0833333 0 0.333333 0.25 0.0833333 0 0 0.5 0 0 0 0 0.125 0.1875 0.0625 0.125 0 0 0 0 0 0.214286 0.142857 0.214286 0.428571 0 0 0 0 0 0 0.0625 0.1875 0.4375 0.0625 0 0.1875 0.0625 0 0 0.125 0 0 0 0.3125 0.4375 0.125 0 0 0 0 0 0 0 0 0.416667 0 0.333333 0.166667 0.0833333 0 0 0 0.1875 0.3125 0.3125 0.125 0 0.0625 0 0 0 0 0 0.0625 0.0625 0.625 0.125 0.125 0 0 0
"Basque" 0 0 0.333333 0 0 0 0.0416667 0.458333 0.0625 0.104167 0 0 0 0 0 0.145833 0 0.0208333 0.104167 0 0.145833 0.479167 0.104167 0 0 0.404762 0 0 0 0.047619 0.0238095 0.285714 0.190476 0.047619 0 0 0 0 0 0.119048 0.142857 0.380952 0.309524 0.047619 0 0 0 0 0 0.0208333 0.0625 0.375 0.25 0.1875 0.104167 0 0 0 0.152174 0 0 0.0869565 0.108696 0.478261 0.152174 0.0217391 0 0 0 0 0 0 0.0625 0.208333 0 0.25 0.208333 0.25 0.0208333 0 0 0.291667 0.0833333 0.4375 0.0416667 0 0.145833 0 0 0 0 0 0.0909091 0.0454545 0.340909 0.204545 0.272727 0.0454545 0 0
"French" 0 0 0.303571 0 0 0.0178571 0.0357143 0.5 0.0535714 0.0714286 0 0.0178571 0 0 0 0.189655 0 0 0.0517241 0.0689655 0.189655 0.37931 0.103448 0 0.0172414 0.4375 0.0625 0 0.0208333 0.0416667 0.0416667 0.104167 0.104167 0.104167 0.0625 0.0208333 0 0 0 0.175 0.225 0.1 0.4 0.05 0 0.05 0.0178571 0 0.0178571 0.0892857 0.0357143 0.482143 0.107143 0.196429 0.0535714 0 0 0 0.173077 0 0 0.0576923 0.288462 0.346154 0.134615 0 0 0 0 0 0 0 0.0344828 0.293103 0 0.37931 0.137931 0.155172 0 0 0 0.293103 0.0517241 0.396552 0.0689655 0 0.0862069 0.0172414 0.0862069 0 0 0 0.0862069 0.0689655 0.327586 0.241379 0.258621 0.0172414 0 0
"Italian" 0 0 0.423077 0 0 0 0.0769231 0.384615 0.0769231 0.0384615 0 0 0 0 0 0.192308 0 0 0 0 0.307692 0.423077 0.0769231 0 0 0.571429 0 0 0 0.0357143 0 0.25 0.0357143 0.0714286 0.0357143 0 0 0 0 0.307692 0.307692 0.115385 0.269231 0 0 0 0 0 0 0 0.107143 0.428571 0.25 0.107143 0.107143 0 0 0.0357143 0.321429 0 0 0.142857 0.107143 0.142857 0.214286 0.0357143 0 0 0 0 0 0 0.0416667 0.208333 0 0.458333 0.208333 0.0416667 0.0416667 0 0 0.321429 0.107143 0.214286 0.214286 0 0.142857 0 0 0 0 0 0.181818 0.0909091 0.227273 0.227273 0.227273 0.0454545 0 0
"Pima" 0 0 0.217391 0 0 0 0 0.23913 0.217391 0.282609 0.0434783 0 0 0 0 0.613636 0 0.159091 0 0 0.0454545 0 0.181818 0 0 0.75 0 0 0 0 0 0 0.227273 0.0227273 0 0 0 0 0 0 0.295455 0.340909 0.340909 0 0.0227273 0 0 0 0 0.104167 0.0416667 0.166667 0 0.5 0.1875 0 0 0 0 0 0 0.02 0.1 0.34 0.52 0.02 0 0 0 0 0 0 0.3125 0.104167 0 0.104167 0.479167 0 0 0 0 0.2 0 0.8 0 0 0 0 0 0 0 0 0 0.0416667 0.5625 0.208333 0.1875 0 0 0
"Surui" 0 0 0.289474 0 0 0 0 0.684211 0.0263158 0 0 0 0 0 0 0.605263 0 0.157895 0 0 0 0.0789474 0.157895 0 0 0.575 0 0 0 0 0 0.05 0.375 0 0 0 0 0 0 0 0 0.738095 0.261905 0 0 0 0 0 0 0 0 0.738095 0.0952381 0.166667 0 0 0 0 0 0 0 0 0 0.357143 0.642857 0 0 0 0 0 0 0 0 0.3 0 0.5 0.025 0.175 0 0 0 0.238095 0 0.761905 0 0 0 0 0 0 0 0.025 0 0 0.375 0.6 0 0 0 0
"Karitiana" 0 0 0.782609 0 0 0 0 0.0869565 0.0434783 0.0869565 0 0 0 0 0 0.434783 0.0434783 0 0 0.173913 0.347826 0 0 0 0 0.977273 0 0 0 0 0 0 0.0227273 0 0 0 0 0 0 0 0 0.238095 0.666667 0.0952381 0 0 0 0 0 0 0 0.458333 0 0.520833 0.0208333 0 0 0 0 0 0 0 0 0.75 0.25 0 0 0 0 0 0 0 0 0.0217391 0.0217391 0.804348 0.152174 0 0 0 0 0.0416667 0 0.958333 0 0 0 0 0 0 0 0 0 0 0.638889 0.0555556 0.0555556 0.25 0 0
"Russian" 0 0 0.238095 0 0 0 0.0238095 0.547619 0.047619 0.0714286 0.0714286 0 0 0 0 0.229167 0 0.0625 0 0.0625 0.1875 0.395833 0.0416667 0.0208333 0 0.277778 0.194444 0 0 0 0.0555556 0.277778 0.111111 0.0277778 0.0555556 0 0 0 0 0.195652 0.195652 0.23913 0.326087 0.0434783 0 0 0 0 0 0 0.0416667 0.333333 0.229167 0.270833 0.125 0 0 0 0.14 0 0 0.06 0.14 0.38 0.24 0.04 0 0 0 0 0 0 0 0.25 0 0.229167 0.375 0.104167 0.0416667 0 0 0.1875 0.0833333 0.541667 0.0833333 0 0.104167 0 0 0 0 0 0.119048 0.0238095 0.333333 0.214286 0.238095 0.0714286 0 0
